                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9007,                  8.875,                 1.7063,                0.00106,                0.31111,                0.00085,                0.00023,                 2.3937,                 7.6488,                 1.3123,                0.00054,                0.00054,                0.00054
                      1,                 2.1982,                 5.0475,                  1.276,                0.00064,                0.18889,                 0.0454,                0.02141,                 2.0919,                 6.3495,                 1.3123,              0.0010891,              0.0010891,              0.0010891
                      2,                 2.0412,                 3.7142,                 1.1817,                0.85073,                0.14444,                0.24782,                0.10428,                 2.4406,                 4.5891,                 1.6113,              0.0016271,              0.0016271,              0.0016271
                      3,                 1.9902,                 3.0352,                 1.1683,                0.97434,                0.18889,                0.25234,                0.11093,                 2.4948,                 3.9151,                  1.643,              0.0019406,              0.0019406,              0.0019406
                      4,                  1.934,                 2.6529,                 1.1381,                0.50048,                0.43333,                0.42888,                0.15149,                 2.1666,                 2.9318,                 1.3248,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8518,                 2.2993,                 1.1149,                0.82994,                    0.4,                0.52049,                0.22802,                 1.8845,                 2.3133,                 1.2577,              0.0019208,              0.0019208,              0.0019208
                      6,                   1.72,                 1.9818,                 1.0935,                0.89893,                0.54444,                0.73261,                0.32611,                 1.8278,                 1.6409,                 1.1778,               0.001901,               0.001901,               0.001901
                      7,                 1.7279,                 1.7411,                 1.0993,                0.86467,                  0.639,                0.75126,                0.32128,                 1.9169,                 1.6372,                 1.2486,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6108,                 1.5231,                 1.0264,                 0.8204,                0.65985,                0.76824,                0.34915,                 1.7293,                 1.2908,                 1.1542,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5534,                 1.3352,                 1.0332,                0.84104,                0.76428,                0.79924,                 0.3448,                 1.7206,                 1.2684,                 1.1317,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7274,                 1.3512,                  1.067,                0.82071,                    0.7,                0.83627,                0.39245,                 1.7417,                 1.6916,                 1.1421,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5673,                 1.2298,                 1.0145,                0.87217,                0.68889,                0.81331,                0.39804,                 1.7584,                 1.3139,                 1.1234,               0.001802,               0.001802,               0.001802
                     12,                 1.5575,                 1.1881,                 0.9965,                 0.8165,                 0.7416,                0.83467,                0.36344,                 1.8495,                 1.1866,                 1.1699,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5897,                 1.1251,                 1.0253,                0.85629,                0.79448,                0.86134,                0.42849,                 1.7147,                 1.1006,                 1.1752,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4872,                 1.0482,                0.99837,                0.90518,                0.74254,                0.82295,                0.42034,                 1.6668,                  1.348,                 1.1643,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5248,                 1.1145,                 1.0183,                0.94971,                0.75556,                0.87351,                0.42795,                 1.6728,                 1.0678,                 1.1087,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4494,                0.98698,                 1.0044,                0.93931,                0.85987,                0.91364,                0.48661,                 1.5533,                0.91456,                 1.0743,               0.001703,               0.001703,               0.001703
                     17,                 1.4809,                0.99486,                 1.0025,                0.90629,                0.85972,                0.90341,                0.45897,                 1.6089,                0.88387,                    1.1,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.406,                0.94176,                0.98045,                0.93779,                 0.8375,                0.89421,                0.43736,                 1.6942,                 0.8874,                 1.1261,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4466,                0.96619,                 1.0013,                0.90023,                0.90234,                0.91867,                0.47844,                 1.6045,                0.86347,                 1.0988,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4584,                0.94977,                 1.0105,                0.97357,                0.81862,                0.89423,                0.49907,                 1.5991,                 1.0165,                 1.0789,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4414,                0.88855,                 1.0016,                0.90893,                0.88716,                0.92727,                0.48633,                 1.6124,                0.82432,                 1.0871,               0.001604,               0.001604,               0.001604
                     22,                 1.4404,                 0.8841,                0.96557,                0.95062,                0.83333,                 0.9117,                0.44963,                  1.612,                0.81554,                 1.1217,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3781,                0.87691,                0.95735,                0.95511,                0.85556,                0.92207,                0.47419,                 1.6005,                0.77622,                 1.0739,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5385,                0.93264,                 1.0005,                0.90083,                0.80748,                 0.8814,                 0.4325,                 1.6349,                 1.0373,                 1.0912,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4069,                0.89963,                0.99457,                 0.8148,                0.78889,                0.82306,                0.42033,                 1.6799,                0.99169,                  1.103,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3283,                0.86471,                0.96142,                 0.9329,                0.86667,                0.92817,                0.50887,                 1.5126,                0.77398,                 1.0527,               0.001505,               0.001505,               0.001505
                     27,                 1.3349,                0.84272,                0.96448,                0.98571,                0.76665,                0.87496,                 0.5252,                 1.4836,                0.94702,                 1.0333,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4044,                0.83346,                0.98766,                0.93349,                0.82222,                 0.9013,                0.50402,                 1.5667,                0.91619,                  1.059,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3662,                0.81954,                0.96794,                0.94992,                0.84311,                0.89911,                0.48808,                 1.5595,                0.89591,                 1.0864,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3371,                0.81653,                 0.9607,                0.90305,                0.82222,                0.87506,                0.47078,                  1.553,                0.97733,                 1.0641,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3127,                0.78546,                0.95712,                0.86252,                0.83654,                0.88785,                0.46319,                 1.5607,                0.81977,                 1.0789,               0.001406,               0.001406,               0.001406
                     32,                 1.2943,                0.74412,                0.95604,                0.97614,                0.90909,                0.96235,                0.52496,                 1.4835,                0.68714,                 1.0404,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2905,                0.74489,                0.95033,                0.96578,                0.88889,                0.94233,                0.50056,                 1.5507,                 0.7477,                  1.047,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2062,                0.70131,                 0.9591,                0.97645,                0.93333,                0.95141,                0.52868,                 1.5104,                0.72597,                 1.0539,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2153,                0.73036,                0.91882,                0.97369,                0.87778,                0.95319,                0.55416,                 1.4721,                0.67576,                 1.0454,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.258,                0.72617,                 0.9387,                 0.9486,                0.87778,                0.94505,                0.53044,                 1.4535,                0.71165,                 1.0237,               0.001307,               0.001307,               0.001307
                     37,                 1.1932,                 0.6852,                0.90272,                0.91464,                0.92222,                0.93148,                 0.5303,                  1.447,                0.67784,                 1.0309,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2697,                0.71349,                 0.9398,                0.98667,                0.94444,                0.96467,                0.54591,                 1.4316,                0.64473,                 1.0308,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1644,                0.66221,                0.92602,                0.96828,                0.92222,                0.94229,                0.53784,                 1.4697,                0.70357,                 1.0449,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2286,                0.73788,                0.91334,                0.95599,                0.92222,                0.94388,                0.51475,                 1.5595,                0.68352,                 1.0917,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2571,                0.70966,                0.93574,                0.95665,                    0.9,                0.92948,                0.51518,                 1.5025,                0.67524,                 1.0667,               0.001208,               0.001208,               0.001208
                     42,                 1.2167,                0.68896,                0.92712,                0.96723,                0.92222,                0.95679,                0.53615,                 1.4321,                0.66613,                 1.0587,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2216,                0.68675,                0.93952,                0.97298,                0.92222,                0.94539,                0.55544,                 1.3974,                0.69279,                 1.0292,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2654,                0.70457,                0.90687,                0.98775,                0.93333,                0.95656,                0.50477,                 1.4909,                0.77838,                 1.0631,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1934,                 0.6405,                0.92376,                0.96283,                    0.9,                0.93185,                0.49723,                 1.4743,                 0.6973,                  1.057,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2258,                0.63732,                0.91693,                0.96597,                0.94629,                  0.963,                0.53188,                  1.479,                0.65516,                  1.056,               0.001109,               0.001109,               0.001109
                     47,                  1.129,                 0.6215,                0.89399,                0.98484,                0.96667,                0.97143,                0.54839,                 1.4483,                0.62692,                 1.0466,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1579,                0.62811,                  0.911,                0.95527,                0.97778,                0.97068,                0.54255,                 1.4698,                0.64485,                 1.0564,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1684,                0.62575,                0.90902,                0.98024,                0.96667,                0.97471,                0.57148,                 1.4334,                 0.6485,                 1.0194,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0969,                0.64067,                0.90726,                0.98837,                0.94434,                0.97387,                0.57679,                 1.3678,                   0.67,                 1.0105,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1314,                0.63167,                0.92085,                0.97647,                0.93333,                0.96233,                0.56122,                 1.4133,                0.66289,                   1.02,                0.00101,                0.00101,                0.00101
                     52,                 1.1059,                0.62838,                0.88956,                0.98689,                0.94444,                0.96094,                 0.5284,                 1.4033,                0.65095,                 1.0357,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1415,                0.61472,                0.89297,                0.98623,                0.95556,                0.96661,                0.60047,                 1.3464,                0.58727,                 1.0075,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1673,                0.63116,                0.90455,                0.98859,                0.96273,                0.97581,                0.57289,                 1.3781,                0.61206,                 1.0014,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1005,                0.59879,                 0.8971,                0.98411,                0.94444,                0.97426,                0.59472,                 1.3428,                0.62853,                 1.0065,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1029,                0.60115,                0.88825,                0.98837,                0.94439,                0.97425,                0.59279,                 1.3974,                0.64529,                 1.0212,               0.000911,               0.000911,               0.000911
                     57,                 1.1091,                0.59374,                0.88504,                0.97542,                0.95556,                0.97048,                0.58106,                 1.3797,                0.60879,                 1.0341,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0774,                0.58629,                0.88193,                0.96036,                0.95556,                0.95386,                0.54616,                 1.4312,                0.60721,                  1.056,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1236,                0.58248,                0.89983,                0.97748,                 0.9646,                0.96763,                0.57616,                 1.3647,                0.58846,                 1.0145,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0093,                0.55811,                 0.8825,                0.97467,                0.95556,                0.96323,                0.55674,                  1.389,                0.64945,                 1.0251,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0522,                0.56398,                0.89722,                0.96684,                0.91111,                0.95749,                 0.5679,                  1.436,                0.63299,                 1.0414,               0.000812,               0.000812,               0.000812
                     62,                 1.0708,                0.57265,                0.89297,                0.96691,                0.95556,                0.97859,                0.60069,                 1.3708,                0.59986,                  1.042,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0567,                0.56197,                0.90308,                0.98739,                0.96667,                0.98237,                0.54796,                 1.4319,                0.64619,                 1.0262,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0694,                0.56017,                0.88955,                0.98772,                0.96667,                0.98508,                0.57901,                 1.4073,                0.61685,                 1.0173,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.092,                0.59421,                 0.9002,                0.98519,                0.94444,                0.96984,                0.56273,                 1.3782,                 0.6615,                 1.0152,              0.0007328,              0.0007328,              0.0007328
                     66,                0.98634,                0.52589,                 0.8727,                0.97666,                0.92993,                0.94523,                0.54314,                 1.4327,                0.59671,                 1.0221,               0.000713,               0.000713,               0.000713
                     67,                 1.0786,                0.56541,                0.89763,                0.96585,                0.94444,                0.94553,                0.56823,                 1.4135,                0.59287,                 1.0329,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0504,                0.54238,                0.88089,                0.97571,                0.95556,                0.96454,                0.57495,                 1.3881,                0.63545,                  1.013,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0148,                0.53353,                0.86631,                0.98809,                0.92148,                0.96846,                0.57522,                 1.3528,                0.64809,                0.99827,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0269,                0.54692,                0.89575,                0.98755,                0.93333,                0.97693,                0.57196,                  1.415,                0.61977,                 1.0174,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0119,                0.53581,                0.88848,                0.98576,                0.97778,                0.97704,                0.57192,                 1.3963,                0.59947,                 1.0158,               0.000614,               0.000614,               0.000614
                     72,                 0.9559,                0.50147,                0.87536,                0.97552,                0.95556,                0.96887,                 0.5602,                 1.3719,                0.63231,                 1.0158,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0485,                0.53471,                0.88331,                0.98862,                0.96488,                0.97689,                0.58072,                 1.3643,                0.58555,                 1.0105,              0.0005744,              0.0005744,              0.0005744
                     74,                0.94995,                0.51793,                 0.8766,                0.98632,                0.95556,                0.97381,                0.58621,                  1.387,                0.60041,                 1.0292,              0.0005546,              0.0005546,              0.0005546
                     75,                0.99319,                0.51862,                0.85711,                0.98685,                0.95556,                 0.9745,                 0.5596,                  1.464,                0.59677,                 1.0606,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0067,                0.52147,                0.87893,                0.98836,                0.94355,                0.97342,                0.57229,                 1.3855,                0.57601,                 1.0191,               0.000515,               0.000515,               0.000515
                     77,                0.99432,                0.51714,                0.87094,                 0.9885,                0.95488,                0.97266,                0.55412,                 1.3678,                0.59399,                 1.0054,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0403,                  0.529,                0.88134,                 0.9885,                0.95473,                0.97138,                0.58908,                 1.3122,                0.55352,                 1.0049,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0067,                0.50161,                0.86698,                0.98849,                0.95396,                 0.9712,                0.58455,                 1.3438,                0.57251,                 1.0115,              0.0004556,              0.0004556,              0.0004556
                     80,                0.95172,                0.51246,                0.86999,                0.98862,                0.96521,                0.97237,                 0.5855,                 1.3308,                0.55621,                 1.0092,              0.0004358,              0.0004358,              0.0004358
                     81,                0.95403,                0.50307,                0.88056,                 0.9872,                0.96667,                  0.972,                0.58538,                 1.3251,                 0.5805,                 1.0019,               0.000416,               0.000416,               0.000416
                     82,                0.92274,                0.49219,                0.86554,                0.97537,                0.95556,                 0.9577,                0.59306,                 1.3429,                 0.6063,                 1.0216,              0.0003962,              0.0003962,              0.0003962
                     83,                0.98343,                0.49561,                0.87189,                0.98857,                0.96122,                0.97924,                 0.6014,                 1.3411,                0.56881,                 1.0157,              0.0003764,              0.0003764,              0.0003764
                     84,                0.94681,                0.48985,                0.88125,                0.97724,                0.95422,                0.98206,                0.59737,                 1.3383,                0.59318,                 1.0086,              0.0003566,              0.0003566,              0.0003566
                     85,                0.95879,                 0.4934,                0.87596,                0.98558,                0.97778,                0.98326,                0.60056,                 1.3413,                0.56975,                 1.0249,              0.0003368,              0.0003368,              0.0003368
                     86,                0.92834,                0.49039,                0.86501,                0.98716,                0.96667,                0.98262,                0.58931,                 1.3615,                0.59459,                 1.0042,               0.000317,               0.000317,               0.000317
                     87,                0.97244,                0.50592,                0.86965,                0.97764,                0.97778,                0.97011,                0.59658,                 1.3471,                0.56657,                 1.0156,              0.0002972,              0.0002972,              0.0002972
                     88,                0.95734,                0.49074,                0.87869,                0.98887,                0.98695,                0.98346,                0.60625,                 1.3173,                0.56786,                 1.0068,              0.0002774,              0.0002774,              0.0002774
                     89,                0.89616,                0.45579,                0.86126,                0.98863,                0.96632,                0.97363,                0.59596,                 1.3303,                0.56919,                 1.0189,              0.0002576,              0.0002576,              0.0002576
                     90,                0.92223,                0.47225,                0.86649,                0.97801,                0.98815,                0.98283,                0.59788,                 1.3513,                0.57193,                 1.0183,              0.0002378,              0.0002378,              0.0002378
                     91,                0.90062,                0.46723,                0.84961,                0.97801,                0.98852,                0.98356,                0.60127,                   1.34,                0.56031,                 1.0194,               0.000218,               0.000218,               0.000218
                     92,                0.92481,                0.47492,                 0.8654,                0.98886,                 0.9862,                0.98415,                0.59483,                 1.3511,                0.56717,                 1.0178,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.9074,                0.46558,                0.85578,                0.97786,                0.98168,                0.98407,                0.60966,                 1.3291,                0.56323,                 1.0055,              0.0001784,              0.0001784,              0.0001784
                     94,                0.90285,                0.47855,                0.86781,                0.97783,                0.98021,                0.98417,                 0.6133,                 1.3051,                0.54956,                 0.9982,              0.0001586,              0.0001586,              0.0001586
                     95,                0.87513,                0.46218,                0.84813,                0.98861,                0.96475,                0.97554,                 0.6047,                 1.3115,                0.55885,                0.99988,              0.0001388,              0.0001388,              0.0001388
                     96,                0.90544,                0.45785,                0.85207,                0.98862,                0.96494,                0.97495,                 0.6038,                 1.3082,                0.55582,                0.99725,               0.000119,               0.000119,               0.000119
                     97,                0.86932,                0.45312,                0.85069,                0.98862,                0.96566,                0.97451,                0.59516,                 1.3198,                0.56025,                0.99435,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.89625,                0.45055,                0.85513,                0.98863,                0.96621,                0.97406,                0.60796,                 1.3037,                0.54586,                0.99264,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.85592,                0.44044,                0.86229,                0.98863,                0.96609,                0.97505,                0.60654,                 1.2879,                0.54775,                0.99361,               5.96e-05,               5.96e-05,               5.96e-05
